id_upm,id_viv,id_hogar,id_cuid,id_per,relacion_cuidadora,fecha_anio,fecha_mes,fecha_dia,fexp_di,estrato,area,region,prov,f3_s0_1_cod,f3_s0_1b_anio,f3_s0_1b_mes,f3_s0_1b_dia,f3_s0_1c_anios,f3_s0_1c_meses,f3_s1_100_a,f3_s1_100_b,f3_s1_100_c,f3_s1_100_d,f3_s1_100_e,f3_s1_100_f,f3_s1_100_g,f3_s1_101,f3_s1_102,f3_s1_103,f3_s1_104,f3_s1_105,f3_s1_106,f3_s1_107,f3_s1_108_a,f3_s1_108_a1_1,f3_s1_108_a1_2,f3_s1_108_a1_3,f3_s1_108_a1_4,f3_s1_108_a1_5,f3_s1_108_b,f3_s1_108_b1_1,f3_s1_108_b1_2,f3_s1_108_b1_3,f3_s1_108_b1_4,f3_s1_108_b1_5,f3_s1_108_c,f3_s1_108_c1_1,f3_s1_108_c1_2,f3_s1_108_c1_3,f3_s1_108_c1_4,f3_s1_108_c1_5,f3_s1_108_d,f3_s1_108_d1_1,f3_s1_108_d1_2,f3_s1_108_d1_3,f3_s1_108_d1_4,f3_s1_108_d1_5,f3_s1_108_e,f3_s1_108_e1_1,f3_s1_108_e1_2,f3_s1_108_e1_3,f3_s1_108_e1_4,f3_s1_108_e1_5,f3_s1_108_f,f3_s1_108_f1_1,f3_s1_108_f1_2,f3_s1_108_f1_3,f3_s1_108_f1_4,f3_s1_108_f1_5,f3_s1_108_g,f3_s1_108_g1_1,f3_s1_108_g1_2,f3_s1_108_g1_3,f3_s1_108_g1_4,f3_s1_108_g1_5,f3_s2a_200_a,f3_s2a_200_b,f3_s2a_200_c,f3_s2a_200_d,f3_s2a_200_e,f3_s2a_200_f,f3_s2a_200_g,f3_s2a_200_h,f3_s2a_200_i,f3_s2a_200_j,f3_s2a_200_k,f3_s2a_200_l,f3_s2a_200_m,f3_s2b_201_a,f3_s2b_201_b,f3_s2b_201_c,f3_s2b_201_d,f3_s2b_201_e,f3_s2b_201_f,f3_s2b_201_g,f3_s2b_201_h,f3_s2b_201_i,f3_s2b_202,f3_s3_300,f3_s3_301,f3_s3_302,f3_s3_303,f3_s3_304,f3_s3_305,f3_s3_306,f3_s3_307,f3_s3_308,f3_s3_309,f3_s3_310,f3_s3_311,f3_s3_312,f3_s3_313,f3_s3_314,f3_s3_315,f3_s3_316,f3_s3_317,f3_s3_318,f3_s3_319,f3_s3_320,f3_s3_321,f3_s3_322,f3_s3_323,f3_s3_324,f3_s3_325,f3_s3_326,f3_s3_327,f3_s3_328,f3_s3_329,f3_s3_330,f3_s3_331,f3_s3_332,f3_s3_333,f3_s3_334,f3_s3_335,f3_s3_336,f3_s3_337,f3_s3_338,f3_s3_339,f3_s3_340,f3_s3_341,f3_s3_342,f3_s3_343,f3_s3_344,f3_s3_345,f3_s3_346,f3_s3_347,f3_s3_348,f3_s3_349,f3_s3_350,f3_s4_400,f3_s4_401,f3_s4_402,f3_s4_403,f3_s4_404,f3_s4_405,f3_s4_406,f3_s4_407,f3_s4_408,f3_s4_409,f3_s4_410,f3_s4_411,f3_s4_412,f3_s4_413,f3_s4_414,f3_s4_415,f3_s4_416,f3_s4_417,f3_s4_418,f3_s4_419,f3_s4_420,f3_s4_421,f3_s4_422,f3_s4_423,f3_s4_424,f3_s4_425,f3_s4_426,f3_s4_427,f3_s4_428,f3_s4_429,f3_s4_430,f3_s4_431,f3_s4_432,f3_s4_433,f3_s4_434,f3_s4_435,f3_s4_436,f3_s4_437,f3_s4_438,f3_s4_439,f3_s4_440,f3_s4_441,f3_s4_442,f3_s4_443,f3_s4_444,f3_s4_445,f3_s4_446,f3_s4_447,f3_s4_448,f3_s4_449,f3_s4_450,f3_s5_500,f3_s5_501,f3_s5_502,f3_s5_503,f3_s5_504,f3_s5_505,f3_s5_506,f3_s5_507,f3_s5_508,f3_s5_509,f3_s5_510,f3_s5_511,f3_s5_512,f3_s5_513,f3_s5_514,f3_s5_515,f3_s5_516,f3_s5_517,f3_s5_518,f3_s5_519,f3_s5_520,f3_s5_521,f3_s5_522,f3_s5_523,f3_s5_524,f3_s5_525,f3_s5_526,f3_s5_527,f3_s5_528,f3_s5_529,f3_s5_530,f3_s5_531,f3_s5_532,f3_s5_533,f3_s5_534,f3_s5_535,f3_s5_536,f3_s5_537,f3_s5_538,f3_s5_539,f3_s5_540,f3_s5_541,f3_s5_542,f3_s5_543,f3_s5_544,f3_s5_545,f3_s5_546,f3_s5_547,f3_s5_548,f3_s5_549,f3_s5_550,f3_s6_600,f3_s6_601,f3_s6_601_a,f3_s6_602,f3_s6_603,f3_s6_604,f3_s6_605_1,f3_s6_605_2,f3_s6_605_3,f3_s6_605_4,f3_s6_605_5,f3_s6_605_6,f3_s6_605_7,f3_s6_605_8,f3_s6_605_9,f3_s6_605_10,f3_s6_605_11,f3_s6_605_12,f3_s6_605_13,f3_s6_605_14,f3_s6_605_15,f3_s6_605_16,f3_s6_605_17,f3_s6_605_18,f3_s6_605_19,f3_s6_605_20,f3_s6_605_21,f3_s6_605_22,f3_s6_605_23,f3_s6_605_24,f3_s6_605_25,f3_s6_605_26,f3_s6_605_27,f3_s6_605_28,f3_s6_605_29,f3_s6_605_30,f3_s6_605_31,f3_s6_605_32,f3_s6_605_33,f3_s6_605_34,f3_s6_605_35,f3_s6_605_36,f3_s6_605_37,f3_s6_605_38,f3_s6_605_39,f3_s6_605_40,f3_s6_605_41,f3_s6_605_42,f3_s6_605_43,f3_s6_605_44,f3_s6_605_45,f3_s6_605_46,f3_s6_605_47,f3_s6_605_48,f3_s6_605_49,f3_s6_605_50,f3_s6_605_51,f3_s6_605_52,f3_s6_605_53,f3_s6_605_54,f3_s6_605_55,f3_s6_605_56,f3_s6_605_57,f3_s6_605_58,f3_s6_605_59,f3_s6_605_60,f3_s6_605_61,f3_s6_605_62,f3_s6_605_63,f3_s6_605_64,f3_s6_605_65,f3_s6_605_66,f3_s6_605_67,f3_s6_605_68,f3_s6_605_69,f3_s6_605_70,f3_s6_605_71,f3_s6_605_72,f3_s6_605_73,f3_s6_605_74,f3_s6_605_75,f3_s6_605_76,f3_s6_605_77,f3_s6_605_78,f3_s6_605_79,f3_s6_605_80,f3_s6_605_81,f3_s6_605_82,f3_s6_605_83,f3_s6_605_84,f3_s6_605_85,f3_s6_605_86,f3_s6_605_87,f3_s6_605_88,f3_s6_605_89,f3_s6_605_90,f3_s6_605_91,f3_s6_605_92,f3_s6_605_93,f3_s6_605_94,f3_s6_605_95,f3_s6_605_96,f3_s6_605_97,f3_s6_605_98,f3_s6_605_99,f3_s6_605_100,f3_s6_606,f3_s6_607,f3_s6_608,f3_s6_609,f3_s6_610,f3_s7_700_a,f3_s7_700_b,f3_s7_700_c,f3_s7_700_d,f3_s7_700_e,f3_s7_700_f,f3_s7_700_g,f3_s7_700_h,tot_men5,quintil_of,edad_meses,tvip_raw,realizo_tvip,lengua_indigena,horas_solo,act_b,act_g,educ_madre,n_edad,z_tvip
2301500256,230150025607,23015002560701,2301500256070102,2301500256070104,Madre,2023,06,05,0.58085123371748,2311,Urbano,Sierra,Sto Domingo de los Tsáchilas,04,2019,2,14,4,3,No,Sí,Sí,Sí,Sí,Sí,Sí,2,3,1,Hermanos,0,0,0,No,.,.,.,.,.,No,.,.,.,.,.,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,Sí,Sí,No,No,No,No,No,No,No,No,.,.,.,.,.,.,.,.,.,Sí,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Solo español?,Si,.,Si,Si,Si,2,4,1,2,1,4,1,1,4,2,3,3,3,3,2,3,4,1,2,4,1,3,2,4,3,3,3,4,2,4,4,2,3,4,3,4,3,1,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,7,33,Buena,Buena,Ninguna vez (cero días),Pocas veces (1 a 2 días),Muchas veces (3 a 4 días),Muchas veces (3 a 4 días),Muchas veces (3 a 4 días),Muchas veces (3 a 4 días),Muchas veces (3 a 4 días),Muchas veces (3 a 4 días),1,Quintil 2,51,33,TRUE,FALSE,0,0,1,Media,164,0.04262732983194162
2301500256,230150025608,23015002560801,2301500256080103,2301500256080106,Madre,2023,06,05,0.58085123371748,2311,Urbano,Sierra,Sto Domingo de los Tsáchilas,06,2019,2,20,4,3,No,Sí,Sí,Sí,Sí,Sí,No,2,2,1,Un familiar menor de 15 años,1,0,0,No,.,.,.,.,.,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,No,No,No,Sí,No,Sí,No,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,Sí,No,.,.,.,.,.,.,.,.,.,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Solo español?,Si,.,Si,Si,Si,2,4,3,2,4,4,4,1,4,1,3,3,3,3,2,2,4,2,2,2,4,4,1,4,3,3,3,3,2,4,2,4,3,4,1,4,1,1,3,4,2,1,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,18,26,Buena,Buena,Ninguna vez (cero días),Ninguna vez (cero días),Muchas veces (3 a 4 días),Ninguna vez (cero días),Muchas veces (3 a 4 días),Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),1,Quintil 5,51,26,TRUE,FALSE,0,1,1,Media,164,-0.4835680964806253
2301500269,230150026903,23015002690301,2301500269030102,2301500269030104,Madre,2023,05,31,0.276311139473339,2312,Urbano,Sierra,Sto Domingo de los Tsáchilas,04,2019,10,24,3,7,No,No,Sí,Sí,Sí,Sí,No,2,1,2,Un familiar menor de 15 años,0,0,0,No,.,.,.,.,.,No,.,.,.,.,.,No,.,.,.,.,.,Sí,Sí,No,No,No,No,Sí,Sí,No,No,Sí,No,No,.,.,.,.,.,No,.,.,.,.,.,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,No,No,Sí,No,.,.,.,.,.,.,.,.,.,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Solo español?,Si,.,Si,Si,Si,4,4,1,3,1,3,1,1,3,4,1,3,1,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,9,6,Regular,Regular,Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),Muchas veces (3 a 4 días),Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),1,Quintil 5,43,6,TRUE,FALSE,0,0,0,Superior,162,-1.380655216057271
2301500285,230150028502,23015002850201,2301500285020102,2301500285020104,Madre,2023,06,02,0.192011085401391,2312,Urbano,Sierra,Sto Domingo de los Tsáchilas,04,2019,3,11,4,2,No,Sí,Sí,Sí,Sí,No,No,1,4,1,Hermanos,1,0,0,No,.,.,.,.,.,Sí,Sí,No,No,No,No,No,.,.,.,.,.,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,No,No,No,Sí,No,No,Sí,No,No,No,Sí,No,.,.,.,.,.,.,.,.,.,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Solo español?,Si,.,Si,Si,Si,2,4,1,1,4,4,1,1,4,2,3,3,3,1,4,2,2,4,4,2,4,3,2,4,4,3,2,4,4,4,2,4,4,4,1,1,1,3,4,1,2,2,1,4,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,17,28,Buena,Buena,Muchas veces (3 a 4 días),Muchas veces (3 a 4 días),Ninguna vez (cero días),Pocas veces (1 a 2 días),Muchas veces (3 a 4 días),Muchas veces (3 a 4 días),Ninguna vez (cero días),Muchas veces (3 a 4 días),1,Quintil 3,50,28,TRUE,FALSE,0,1,1,Media,142,-0.19915015226102661
2301500285,230150028503,23015002850301,2301500285030101,2301500285030104,Madre,2023,06,02,0.192011085401391,2312,Urbano,Sierra,Sto Domingo de los Tsáchilas,04,2018,8,4,4,9,No,No,Sí,Sí,No,Sí,No,0,2,2,Solo,2,0,0,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,Sí,Sí,No,No,No,No,No,No,No,No,.,.,.,.,.,.,.,.,.,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Solo español?,Si,.,Si,Si,Si,2,4,1,2,1,4,1,1,1,4,3,3,3,1,2,2,2,1,2,2,1,3,2,2,4,3,1,4,2,1,1,2,1,4,1,3,1,1,1,1,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,17,25,Buena,Buena,Casi todo el tiempo (5 a 7 días),Muchas veces (3 a 4 días),Casi todo el tiempo (5 a 7 días),Muchas veces (3 a 4 días),Casi todo el tiempo (5 a 7 días),Casi todo el tiempo (5 a 7 días),Pocas veces (1 a 2 días),Muchas veces (3 a 4 días),1,Quintil 2,57,25,TRUE,FALSE,0,1,1,Media,170,-0.806873878557515
2301500285,230150028507,23015002850701,2301500285070101,2301500285070103,Madre,2023,06,02,0.576033256204173,2312,Urbano,Sierra,Sto Domingo de los Tsáchilas,03,2019,9,21,3,8,No,No,Sí,No,No,No,No,3,3,1,Hermanos,0,0,0,No,.,.,.,.,.,No,.,.,.,.,.,No,.,.,.,.,.,Sí,Sí,Sí,No,No,No,No,.,.,.,.,.,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,Sí,No,.,.,.,.,.,.,.,.,.,Sí,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Solo español?,Si,.,Si,Si,Si,1,1,1,2,3,3,1,1,3,1,2,3,2,4,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,10,5,Buena,Buena,Pocas veces (1 a 2 días),Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),Pocas veces (1 a 2 días),Ninguna vez (cero días),Ninguna vez (cero días),3,Quintil 1,44,5,TRUE,FALSE,0,0,1,Básica,192,-1.5561494650072103
2301500310,230150031003,23015003100301,2301500310030102,2301500310030104,Madre,2023,06,06,0.277752762809721,2312,Urbano,Sierra,Sto Domingo de los Tsáchilas,04,2019,5,31,4,0,No,Sí,Sí,Sí,Sí,Sí,Sí,2,3,1,Un familiar menor de 15 años,3,0,0,No,.,.,.,.,.,No,.,.,.,.,.,Sí,Sí,No,No,No,No,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,No,No,No,No,.,.,.,.,.,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,.,.,.,.,.,.,.,.,.,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Solo español?,Si,.,Si,Si,Si,2,4,1,2,1,1,1,1,4,2,3,3,4,4,2,2,1,1,2,2,3,2,2,4,3,3,3,4,2,4,3,2,4,4,1,4,2,4,3,3,3,2,1,2,3,4,2,4,1,3,3,1,4,3,4,2,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,10,48,Regular,Buena,Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),1,Quintil 5,48,48,TRUE,FALSE,0,0,1,Superior,166,1.3076855625937682
2301500310,230150031006,23015003100601,2301500310060101,2301500310060104,Madre,2023,06,01,0.555505525619443,2312,Urbano,Sierra,Sto Domingo de los Tsáchilas,04,2019,8,3,3,9,Sí,Sí,Sí,Sí,Sí,No,No,1,2,2,Solo,3,0,0,No,.,.,.,.,.,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,No,Sí,No,Sí,No,No,No,Sí,No,No,No,No,No,.,.,.,.,.,.,.,.,.,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Solo español?,Si,.,Si,Si,Si,2,2,2,1,4,4,2,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,6,3,Regular,Buena,Pocas veces (1 a 2 días),Ninguna vez (cero días),Ninguna vez (cero días),Muchas veces (3 a 4 días),Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),2,Quintil 4,45,3,TRUE,FALSE,0,1,1,Superior,170,-1.6036858842257902
2301500383,230150038301,23015003830101,2301500383010102,2301500383010103,Madre,2023,05,31,0.252655636273246,2312,Urbano,Sierra,Sto Domingo de los Tsáchilas,03,2018,6,18,4,11,Sí,Sí,Sí,Sí,Sí,Sí,No,1,0,3,Solo,4,0,0,No,.,.,.,.,.,No,.,.,.,.,.,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,.,.,.,.,.,.,.,.,.,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Solo español?,Si,.,Si,Si,Si,2,4,1,4,1,4,1,1,4,1,3,3,4,1,3,2,1,1,2,3,1,3,3,4,3,3,3,3,3,1,4,2,4,4,1,4,4,2,2,1,3,2,4,3,1,4,4,3,1,3,3,2,2,1,1,2,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,25,33,Regular,Buena,Pocas veces (1 a 2 días),Ninguna vez (cero días),Ninguna vez (cero días),Pocas veces (1 a 2 días),Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),Ninguna vez (cero días),1,Quintil 2,59,33,TRUE,FALSE,0,0,1,Media,204,-0.3938863876020013
2301500383,230150038308,23015003830801,2301500383080102,2301500383080105,Madre,2023,05,31,0.505311272546491,2312,Urbano,Sierra,Sto Domingo de los Tsáchilas,05,2018,9,8,4,8,Sí,No,Sí,Sí,Sí,Sí,Sí,2,3,2,Hermanos,0,0,0,No,.,.,.,.,.,No,.,.,.,.,.,Sí,Sí,No,No,No,No,No,.,.,.,.,.,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,No,.,.,.,.,.,No,Sí,No,No,No,No,No,No,No,No,No,No,No,.,.,.,.,.,.,.,.,.,Sí,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Solo español?,Si,.,Si,Si,Si,2,4,1,2,1,4,1,1,4,2,3,3,3,4,3,2,3,1,4,2,4,3,2,4,3,3,3,3,2,4,4,1,4,4,1,4,4,1,4,1,4,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,9,33,Buena,Buena,Ninguna vez (cero días),Ninguna vez (cero días),Casi todo el tiempo (5 a 7 días),Ninguna vez (cero días),Casi todo el tiempo (5 a 7 días),Ninguna vez (cero días),Ninguna vez (cero días),Casi todo el tiempo (5 a 7 días),2,Quintil 3,56,33,TRUE,FALSE,0,0,0,Superior,173,-0.34721374781106595
